objectid,sqmi,csa_2020,shape_length,shape_area,total_population,under_5_years,x5_to_9_years,x10_to_14_years,x15_to_19_years,x20_to_24_years,pct_under_5_years,pct_5_to_9_years,pct_10_to_14_years,pct_15_to_19_years,pct_20_to_24_years
1,2.287450563,Allendale/Irvington/S. Hilton,0.123710952,0.000618533,14828,882,885,942,907,957,5.95,5.97,6.35,6.12,6.45
2,1.717549347,Beechfield/Ten Hills/West Hills,0.115560759,0.000464457,12083,687,714,673,654,734,5.69,5.91,5.57,5.41,6.07
3,1.612360482,Belair-Edison,0.102119167,0.000436211,15085,867,947,1134,1023,930,5.75,6.28,7.52,6.78,6.17
4,11.44464734,Brooklyn/Curtis Bay/Hawkins Point,0.488591561,0.001706499,13479,1128,1127,1159,882,852,8.37,8.36,8.60,6.54,6.32
5,0.834285285,Canton,0.072594635,0.000149454,8239,388,185,101,71,550,4.71,2.25,1.23,0.86,6.68
6,2.566192475,Cedonia/Frankford,0.123066843,0.000694371,22455,1282,1411,1393,1467,1479,5.71,6.28,6.20,6.53,6.59
7,1.32088128,Cherry Hill,0.069710294,0.000282547,7496,615,735,734,521,452,8.20,9.81,9.79,6.95,6.03
8,0.754081659,Chinquapin Park/Belvedere,0.067315015,0.000204128,7219,370,306,412,372,581,5.13,4.24,5.71,5.15,8.05
9,2.196818125,Orchard Ridge/Armistead,0.126783502,0.000594261,9064,595,739,763,635,585,6.56,8.15,8.42,7.01,6.45
10,0.835242838,Clifton-Berea,0.077284099,0.000225937,7577,477,510,474,442,405,6.30,6.73,6.26,5.83,5.35
11,1.371026254,Cross-Country/Cheswolde,0.088548581,0.000371147,13213,1300,990,929,832,963,9.84,7.49,7.03,6.30,7.29
12,1.281246858,Dickeyville/Franklintown,0.098549759,0.000346589,3672,275,244,204,140,270,7.49,6.64,5.56,3.81,7.35
13,1.223824796,Dorchester/Ashburton,0.085615189,0.000331144,10441,498,582,622,572,576,4.77,5.57,5.96,5.48,5.52
14,0.743821539,Downtown/Seton Hill,0.06837693,0.000201162,9448,256,168,153,154,1501,2.71,1.78,1.62,1.63,15.89
15,0.845208514,Edmondson Village,0.069852657,0.000228596,7093,339,446,506,482,379,4.78,6.29,7.13,6.80,5.34
