tract_2020,csa_2020,tract_census,pre_crosswalk,crosswalk
90100,Greater Govans,901,census_tract_901,census_tract_901_baltimore_city_maryland_count
250303,Morrell Park/Violetville,2503_03,census_tract_2503_03,census_tract_2503_03_baltimore_city_maryland_count
240300,Inner Harbor/Federal Hill,2403,census_tract_2403,census_tract_2403_baltimore_city_maryland_count
250401,Brooklyn/Curtis Bay/Hawkins Point,2504_01,census_tract_2504_01,census_tract_2504_01_baltimore_city_maryland_count
250101,Beechfield/Ten Hills/West Hills,2501_01,census_tract_2501_01,census_tract_2501_01_baltimore_city_maryland_count
250102,Allendale/Irvington/S. Hilton,2501_02,census_tract_2501_02,census_tract_2501_02_baltimore_city_maryland_count
250402,Brooklyn/Curtis Bay/Hawkins Point,2504_02,census_tract_2504_02,census_tract_2504_02_baltimore_city_maryland_count
272003,Cross-Country/Cheswolde,2720_03,census_tract_2720_03,census_tract_2720_03_baltimore_city_maryland_count
250103,Morrell Park/Violetville,2501_03,census_tract_2501_03,census_tract_2501_03_baltimore_city_maryland_count
250203,Cherry Hill,2502_03,census_tract_2502_03,census_tract_2502_03_baltimore_city_maryland_count
280101,Glen-Fallstaff,2801_01,census_tract_2801_01,census_tract_2801_01_baltimore_city_maryland_count
280102,Howard Park/West Arlington,2801_02,census_tract_2801_02,census_tract_2801_02_baltimore_city_maryland_count
240400,South Baltimore,2404,census_tract_2404,census_tract_2404_baltimore_city_maryland_count
250204,Cherry Hill,2502_04,census_tract_2502_04,census_tract_2502_04_baltimore_city_maryland_count
280200,Howard Park/West Arlington,2802,census_tract_2802,census_tract_2802_baltimore_city_maryland_count
280302,Forest Park/Walbrook,2803_02,census_tract_2803_02,census_tract_2803_02_baltimore_city_maryland_count
60300,Patterson Park North & East,603,census_tract_603,census_tract_603_baltimore_city_maryland_count
120600,Greater Charles Village/Barclay,1206,census_tract_1206,census_tract_1206_baltimore_city_maryland_count
30200,Harbor East/Little Italy,302,census_tract_302,census_tract_302_baltimore_city_maryland_count
40100,Downtown/Seton Hill,401,census_tract_401,census_tract_401_baltimore_city_maryland_count
260800,Highlandtown,2608,census_tract_2608,census_tract_2608_baltimore_city_maryland_count
80800,Oldtown/Middle East,808,census_tract_808,census_tract_808_baltimore_city_maryland_count
40200,Downtown/Seton Hill,402,census_tract_402,census_tract_402_baltimore_city_maryland_count
60400,Oldtown/Middle East,604,census_tract_604,census_tract_604_baltimore_city_maryland_count
280600,Poppleton/The Terraces/Hollins Market,2806,census_tract_2806,census_tract_2806_baltimore_city_maryland_count
260900,Highlandtown,2609,census_tract_2609,census_tract_2609_baltimore_city_maryland_count
70100,Madison/East End,701,census_tract_701,census_tract_701_baltimore_city_maryland_count
70200,Madison/East End,702,census_tract_702,census_tract_702_baltimore_city_maryland_count
260605,Southeastern,2606_05,census_tract_2606_05,census_tract_2606_05_baltimore_city_maryland_count
230200,Inner Harbor/Federal Hill,2302,census_tract_2302,census_tract_2302_baltimore_city_maryland_count
70300,Madison/East End,703,census_tract_703,census_tract_703_baltimore_city_maryland_count
70400,Oldtown/Middle East,704,census_tract_704,census_tract_704_baltimore_city_maryland_count
261100,Highlandtown,2611,census_tract_2611,census_tract_2611_baltimore_city_maryland_count
250500,Brooklyn/Curtis Bay/Hawkins Point,2505,census_tract_2505,census_tract_2505_baltimore_city_maryland_count
250600,Brooklyn/Curtis Bay/Hawkins Point,2506,census_tract_2506,census_tract_2506_baltimore_city_maryland_count
270501,Hamilton Hills,2705_01,census_tract_2705_01,census_tract_2705_01_baltimore_city_maryland_count
160200,Sandtown-Winchester/Harlem Park,1602,census_tract_1602,census_tract_1602_baltimore_city_maryland_count
260101,Cedonia/Frankford,2601_01,census_tract_2601_01,census_tract_2601_01_baltimore_city_maryland_count
260102,Cedonia/Frankford,2601_02,census_tract_2601_02,census_tract_2601_02_baltimore_city_maryland_count
270101,Greater Lauraville,2701_01,census_tract_2701_01,census_tract_2701_01_baltimore_city_maryland_count
270102,Greater Lauraville,2701_02,census_tract_2701_02,census_tract_2701_02_baltimore_city_maryland_count
260201,Cedonia/Frankford,2602_01,census_tract_2602_01,census_tract_2602_01_baltimore_city_maryland_count
280401,Beechfield/Ten Hills/West Hills,2804_01,census_tract_2804_01,census_tract_2804_01_baltimore_city_maryland_count
100100,Oliver/Johnson Square,1001,census_tract_1001,census_tract_1001_baltimore_city_maryland_count
270200,Greater Lauraville,2702,census_tract_2702,census_tract_2702_baltimore_city_maryland_count
280403,Beechfield/Ten Hills/West Hills,2804_03,census_tract_2804_03,census_tract_2804_03_baltimore_city_maryland_count
280404,Allendale/Irvington/S. Hilton,2804_04,census_tract_2804_04,census_tract_2804_04_baltimore_city_maryland_count
130300,Penn North/Reservoir Hill,1303,census_tract_1303,census_tract_1303_baltimore_city_maryland_count
270301,Greater Lauraville,2703_01,census_tract_2703_01,census_tract_2703_01_baltimore_city_maryland_count
80101,Belair-Edison,801_01,census_tract_801_01,census_tract_801_01_baltimore_city_maryland_count
80102,Belair-Edison,801_02,census_tract_801_02,census_tract_801_02_baltimore_city_maryland_count
270302,Greater Lauraville,2703_02,census_tract_2703_02,census_tract_2703_02_baltimore_city_maryland_count
60100,Patterson Park North & East,601,census_tract_601,census_tract_601_baltimore_city_maryland_count
80200,Clifton-Berea,802,census_tract_802,census_tract_802_baltimore_city_maryland_count
80302,Clifton-Berea,803_02,census_tract_803_02,census_tract_803_02_baltimore_city_maryland_count
270600,Hamilton Hills,2706,census_tract_2706,census_tract_2706_baltimore_city_maryland_count
270401,Hamilton,2704_01,census_tract_2704_01,census_tract_2704_01_baltimore_city_maryland_count
80400,Clifton-Berea,804,census_tract_804,census_tract_804_baltimore_city_maryland_count
80500,Clifton-Berea,805,census_tract_805,census_tract_805_baltimore_city_maryland_count
270402,Hamilton,2704_02,census_tract_2704_02,census_tract_2704_02_baltimore_city_maryland_count
270502,Hamilton,2705_02,census_tract_2705_02,census_tract_2705_02_baltimore_city_maryland_count
80600,Oliver/Johnson Square,806,census_tract_806,census_tract_806_baltimore_city_maryland_count
90500,The Waverlies,905,census_tract_905,census_tract_905_baltimore_city_maryland_count
280301,Dickeyville/Franklintown,2803_01,census_tract_2803_01,census_tract_2803_01_baltimore_city_maryland_count
151200,Southern Park Heights,1512,census_tract_1512,census_tract_1512_baltimore_city_maryland_count
200701,Allendale/Irvington/S. Hilton,2007_01,census_tract_2007_01,census_tract_2007_01_baltimore_city_maryland_count
90600,Midway/Coldstream,906,census_tract_906,census_tract_906_baltimore_city_maryland_count
160100,Sandtown-Winchester/Harlem Park,1601,census_tract_1601,census_tract_1601_baltimore_city_maryland_count
151300,Southern Park Heights,1513,census_tract_1513,census_tract_1513_baltimore_city_maryland_count
90700,Midway/Coldstream,907,census_tract_907,census_tract_907_baltimore_city_maryland_count
260403,Orchard Ridge/Armistead,2604_03,census_tract_2604_03,census_tract_2604_03_baltimore_city_maryland_count
130200,Penn North/Reservoir Hill,1302,census_tract_1302,census_tract_1302_baltimore_city_maryland_count
130400,Penn North/Reservoir Hill,1304,census_tract_1304,census_tract_1304_baltimore_city_maryland_count
200800,Allendale/Irvington/S. Hilton,2008,census_tract_2008,census_tract_2008_baltimore_city_maryland_count
260402,Orchard Ridge/Armistead,2604_02,census_tract_2604_02,census_tract_2604_02_baltimore_city_maryland_count
160400,Sandtown-Winchester/Harlem Park,1604,census_tract_1604,census_tract_1604_baltimore_city_maryland_count
270903,Northwood,2709_03,census_tract_2709_03,census_tract_2709_03_baltimore_city_maryland_count
130600,Hampden/Remington,1306,census_tract_1306,census_tract_1306_baltimore_city_maryland_count
260404,Greektown/Bayview,2604_04,census_tract_2604_04,census_tract_2604_04_baltimore_city_maryland_count
130700,Hampden/Remington,1307,census_tract_1307,census_tract_1307_baltimore_city_maryland_count
271001,Greater Govans,2710_01,census_tract_2710_01,census_tract_2710_01_baltimore_city_maryland_count
160700,Greater Rosemont,1607,census_tract_1607,census_tract_1607_baltimore_city_maryland_count
260501,Greektown/Bayview,2605_01,census_tract_2605_01,census_tract_2605_01_baltimore_city_maryland_count
130803,Hampden/Remington,1308_03,census_tract_1308_03,census_tract_1308_03_baltimore_city_maryland_count
271002,Greater Govans,2710_02,census_tract_2710_02,census_tract_2710_02_baltimore_city_maryland_count
160801,Edmondson Village,1608_01,census_tract_1608_01,census_tract_1608_01_baltimore_city_maryland_count
90800,Midway/Coldstream,908,census_tract_908,census_tract_908_baltimore_city_maryland_count
130804,Hampden/Remington,1308_04,census_tract_1308_04,census_tract_1308_04_baltimore_city_maryland_count
271101,North Baltimore/Guilford/Homeland,2711_01,census_tract_2711_01,census_tract_2711_01_baltimore_city_maryland_count
160802,Edmondson Village,1608_02,census_tract_1608_02,census_tract_1608_02_baltimore_city_maryland_count
100200,Oldtown/Middle East,1002,census_tract_1002,census_tract_1002_baltimore_city_maryland_count
270702,Hamilton Hills,2707_02,census_tract_2707_02,census_tract_2707_02_baltimore_city_maryland_count
271102,North Baltimore/Guilford/Homeland,2711_02,census_tract_2711_02,census_tract_2711_02_baltimore_city_maryland_count
130805,Mount Washington/Coldspring,1308_05,census_tract_1308_05,census_tract_1308_05_baltimore_city_maryland_count
100300,Unassigned -- Jail,1003,census_tract_1003,census_tract_1003_baltimore_city_maryland_count
270801,Loch Raven,2708_01,census_tract_2708_01,census_tract_2708_01_baltimore_city_maryland_count
271200,North Baltimore/Guilford/Homeland,2712,census_tract_2712,census_tract_2712_baltimore_city_maryland_count
250205,Westport/Mount Winans/Lakeland,2502_05,census_tract_2502_05,census_tract_2502_05_baltimore_city_maryland_count
110100,Midtown,1101,census_tract_1101,census_tract_1101_baltimore_city_maryland_count
270703,Hamilton Hills,2707_03,census_tract_2707_03,census_tract_2707_03_baltimore_city_maryland_count
271300,Greater Roland Park/Poplar Hill,2713,census_tract_2713,census_tract_2713_baltimore_city_maryland_count
150100,Sandtown-Winchester/Harlem Park,1501,census_tract_1501,census_tract_1501_baltimore_city_maryland_count
110200,Midtown,1102,census_tract_1102,census_tract_1102_baltimore_city_maryland_count
270802,Loch Raven,2708_02,census_tract_2708_02,census_tract_2708_02_baltimore_city_maryland_count
120100,North Baltimore/Guilford/Homeland,1201,census_tract_1201,census_tract_1201_baltimore_city_maryland_count
90900,Oliver/Johnson Square,909,census_tract_909,census_tract_909_baltimore_city_maryland_count
120300,Greater Charles Village/Barclay,1203,census_tract_1203,census_tract_1203_baltimore_city_maryland_count
271400,Greater Roland Park/Poplar Hill,2714,census_tract_2714,census_tract_2714_baltimore_city_maryland_count
120500,Midtown,1205,census_tract_1205,census_tract_1205_baltimore_city_maryland_count
120400,Greater Charles Village/Barclay,1204,census_tract_1204,census_tract_1204_baltimore_city_maryland_count
210100,Pigtown/Carroll Park,2101,census_tract_2101,census_tract_2101_baltimore_city_maryland_count
271501,Mount Washington/Coldspring,2715_01,census_tract_2715_01,census_tract_2715_01_baltimore_city_maryland_count
220100,Inner Harbor/Federal Hill,2201,census_tract_2201,census_tract_2201_baltimore_city_maryland_count
270701,Hamilton Hills,2707_01,census_tract_2707_01,census_tract_2707_01_baltimore_city_maryland_count
230300,South Baltimore,2303,census_tract_2303,census_tract_2303_baltimore_city_maryland_count
80301,Clifton-Berea,803_01,census_tract_803_01,census_tract_803_01_baltimore_city_maryland_count
240100,South Baltimore,2401,census_tract_2401,census_tract_2401_baltimore_city_maryland_count
120700,Hampden/Remington,1207,census_tract_1207,census_tract_1207_baltimore_city_maryland_count
210200,Pigtown/Carroll Park,2102,census_tract_2102,census_tract_2102_baltimore_city_maryland_count
10200,Patterson Park North & East,102,census_tract_102,census_tract_102_baltimore_city_maryland_count
240200,Inner Harbor/Federal Hill,2402,census_tract_2402,census_tract_2402_baltimore_city_maryland_count
130100,Penn North/Reservoir Hill,1301,census_tract_1301,census_tract_1301_baltimore_city_maryland_count
271600,Southern Park Heights,2716,census_tract_2716,census_tract_2716_baltimore_city_maryland_count
271801,Pimlico/Arlington/Hilltop,2718_01,census_tract_2718_01,census_tract_2718_01_baltimore_city_maryland_count
271700,Pimlico/Arlington/Hilltop,2717,census_tract_2717,census_tract_2717_baltimore_city_maryland_count
170100,Downtown/Seton Hill,1701,census_tract_1701,census_tract_1701_baltimore_city_maryland_count
230100,Inner Harbor/Federal Hill,2301,census_tract_2301,census_tract_2301_baltimore_city_maryland_count
150900,Forest Park/Walbrook,1509,census_tract_1509,census_tract_1509_baltimore_city_maryland_count
140100,Midtown,1401,census_tract_1401,census_tract_1401_baltimore_city_maryland_count
80700,Oliver/Johnson Square,807,census_tract_807,census_tract_807_baltimore_city_maryland_count
170200,Upton/Druid Heights,1702,census_tract_1702,census_tract_1702_baltimore_city_maryland_count
261000,Patterson Park North & East,2610,census_tract_2610,census_tract_2610_baltimore_city_maryland_count
260700,Greektown/Bayview,2607,census_tract_2607,census_tract_2607_baltimore_city_maryland_count
170300,Upton/Druid Heights,1703,census_tract_1703,census_tract_1703_baltimore_city_maryland_count
160300,Sandtown-Winchester/Harlem Park,1603,census_tract_1603,census_tract_1603_baltimore_city_maryland_count
190200,Southwest Baltimore,1902,census_tract_1902,census_tract_1902_baltimore_city_maryland_count
60200,Patterson Park North & East,602,census_tract_602,census_tract_602_baltimore_city_maryland_count
200702,Allendale/Irvington/S. Hilton,2007_02,census_tract_2007_02,census_tract_2007_02_baltimore_city_maryland_count
190300,Southwest Baltimore,1903,census_tract_1903,census_tract_1903_baltimore_city_maryland_count
120202,Greater Charles Village/Barclay,1202_02,census_tract_1202_02,census_tract_1202_02_baltimore_city_maryland_count
272007,Glen-Fallstaff,2720_07,census_tract_2720_07,census_tract_2720_07_baltimore_city_maryland_count
272005,Cross-Country/Cheswolde,2720_05,census_tract_2720_05,census_tract_2720_05_baltimore_city_maryland_count
200100,Southwest Baltimore,2001,census_tract_2001,census_tract_2001_baltimore_city_maryland_count
120201,Greater Charles Village/Barclay,1202_01,census_tract_1202_01,census_tract_1202_01_baltimore_city_maryland_count
200200,Southwest Baltimore,2002,census_tract_2002,census_tract_2002_baltimore_city_maryland_count
272004,Cross-Country/Cheswolde,2720_04,census_tract_2720_04,census_tract_2720_04_baltimore_city_maryland_count
200300,Southwest Baltimore,2003,census_tract_2003,census_tract_2003_baltimore_city_maryland_count
272006,Glen-Fallstaff,2720_06,census_tract_2720_06,census_tract_2720_06_baltimore_city_maryland_count
200400,Southwest Baltimore,2004,census_tract_2004,census_tract_2004_baltimore_city_maryland_count
280500,Oldtown/Middle East,2805,census_tract_2805,census_tract_2805_baltimore_city_maryland_count
270803,Loch Raven,2708_03,census_tract_2708_03,census_tract_2708_03_baltimore_city_maryland_count
260604,Southeastern,2606_04,census_tract_2606_04,census_tract_2606_04_baltimore_city_maryland_count
260202,Cedonia/Frankford,2602_02,census_tract_2602_02,census_tract_2602_02_baltimore_city_maryland_count
270805,Chinquapin Park/Belvedere,2708_05,census_tract_2708_05,census_tract_2708_05_baltimore_city_maryland_count
280402,Edmondson Village,2804_02,census_tract_2804_02,census_tract_2804_02_baltimore_city_maryland_count
260203,Cedonia/Frankford,2602_03,census_tract_2602_03,census_tract_2602_03_baltimore_city_maryland_count
270901,Northwood,2709_01,census_tract_2709_01,census_tract_2709_01_baltimore_city_maryland_count
10100,Canton,101,census_tract_101,census_tract_101_baltimore_city_maryland_count
260301,Belair-Edison,2603_01,census_tract_2603_01,census_tract_2603_01_baltimore_city_maryland_count
270902,Northwood,2709_02,census_tract_2709_02,census_tract_2709_02_baltimore_city_maryland_count
10300,Canton,103,census_tract_103,census_tract_103_baltimore_city_maryland_count
260302,Belair-Edison,2603_02,census_tract_2603_02,census_tract_2603_02_baltimore_city_maryland_count
270804,Chinquapin Park/Belvedere,2708_04,census_tract_2708_04,census_tract_2708_04_baltimore_city_maryland_count
10400,Canton,104,census_tract_104,census_tract_104_baltimore_city_maryland_count
260303,Orchard Ridge/Armistead,2603_03,census_tract_2603_03,census_tract_2603_03_baltimore_city_maryland_count
271503,Greater Roland Park/Poplar Hill,2715_03,census_tract_2715_03,census_tract_2715_03_baltimore_city_maryland_count
10500,Fells Point,105,census_tract_105,census_tract_105_baltimore_city_maryland_count
260401,Orchard Ridge/Armistead,2604_01,census_tract_2604_01,census_tract_2604_01_baltimore_city_maryland_count
180300,Poppleton/The Terraces/Hollins Market,1803,census_tract_1803,census_tract_1803_baltimore_city_maryland_count
20100,Fells Point,201,census_tract_201,census_tract_201_baltimore_city_maryland_count
90200,Northwood,902,census_tract_902,census_tract_902_baltimore_city_maryland_count
190100,Southwest Baltimore,1901,census_tract_1901,census_tract_1901_baltimore_city_maryland_count
20200,Fells Point,202,census_tract_202,census_tract_202_baltimore_city_maryland_count
90300,The Waverlies,903,census_tract_903,census_tract_903_baltimore_city_maryland_count
200500,Southwest Baltimore,2005,census_tract_2005,census_tract_2005_baltimore_city_maryland_count
20300,Fells Point,203,census_tract_203,census_tract_203_baltimore_city_maryland_count
90400,The Waverlies,904,census_tract_904,census_tract_904_baltimore_city_maryland_count
200600,Allendale/Irvington/S. Hilton,2006,census_tract_2006,census_tract_2006_baltimore_city_maryland_count
30100,Harbor East/Little Italy,301,census_tract_301,census_tract_301_baltimore_city_maryland_count
160500,Greater Rosemont,1605,census_tract_1605,census_tract_1605_baltimore_city_maryland_count
130806,Hampden/Remington,1308_06,census_tract_1308_06,census_tract_1308_06_baltimore_city_maryland_count
140200,Upton/Druid Heights,1402,census_tract_1402,census_tract_1402_baltimore_city_maryland_count
140300,Upton/Druid Heights,1403,census_tract_1403,census_tract_1403_baltimore_city_maryland_count
150200,Sandtown-Winchester/Harlem Park,1502,census_tract_1502,census_tract_1502_baltimore_city_maryland_count
150300,Greater Rosemont,1503,census_tract_1503,census_tract_1503_baltimore_city_maryland_count
150400,Greater Mondawmin,1504,census_tract_1504,census_tract_1504_baltimore_city_maryland_count
150500,Greater Mondawmin,1505,census_tract_1505,census_tract_1505_baltimore_city_maryland_count
150600,Greater Rosemont,1506,census_tract_1506,census_tract_1506_baltimore_city_maryland_count
150701,Greater Mondawmin,1507_01,census_tract_1507_01,census_tract_1507_01_baltimore_city_maryland_count
150702,Greater Mondawmin,1507_02,census_tract_1507_02,census_tract_1507_02_baltimore_city_maryland_count
160600,Greater Rosemont,1606,census_tract_1606,census_tract_1606_baltimore_city_maryland_count
271802,Pimlico/Arlington/Hilltop,2718_02,census_tract_2718_02,census_tract_2718_02_baltimore_city_maryland_count
271900,Glen-Fallstaff,2719,census_tract_2719,census_tract_2719_baltimore_city_maryland_count
151000,Dorchester/Ashburton,1510,census_tract_1510,census_tract_1510_baltimore_city_maryland_count
151100,Dorchester/Ashburton,1511,census_tract_1511,census_tract_1511_baltimore_city_maryland_count
150800,Forest Park/Walbrook,1508,census_tract_1508,census_tract_1508_baltimore_city_maryland_count
250206,Morrell Park/Violetville,2502_06,census_tract_2502_06,census_tract_2502_06_baltimore_city_maryland_count
250207,Cherry Hill,2502_07,census_tract_2502_07,census_tract_2502_07_baltimore_city_maryland_count
250301,Westport/Mount Winans/Lakeland,2503_01,census_tract_2503_01,census_tract_2503_01_baltimore_city_maryland_count
